year,estado,nombre_municipio,municipio,gini,decil_1,decil_2,decil_3,decil_4,decil_5,decil_6,decil_7,decil_8,decil_9,decil_10,p1_Respuesta_1,p1_Respuesta_2,p1_Respuesta_3,p1_Respuesta_4,p1_Respuesta_5,p1_Respuesta_6,p10_Respuesta_1,p10_Respuesta_2,p10_Respuesta_3,p10_Respuesta_4,p11_Respuesta_1,p11_Respuesta_2,p11_Respuesta_3,p11_Respuesta_4,p11_Respuesta_5,p11_Respuesta_6,p12_Respuesta_1,p12_Respuesta_2,p12_Respuesta_3,p12_Respuesta_4,p12_Respuesta_5,p12_Respuesta_6,p12_Respuesta_7,p13_Respuesta_1,p13_Respuesta_2,p13_Respuesta_3,p13_Respuesta_4,p13_Respuesta_5,p13_Respuesta_6,p14_Respuesta_1,p14_Respuesta_2,p14_Respuesta_3,p14_Respuesta_4,p15_Respuesta_1,p15_Respuesta_2,p15_Respuesta_3,p15_Respuesta_4,p2_Respuesta_1,p2_Respuesta_2,p2_Respuesta_3,p2_Respuesta_4,p2_Respuesta_5,p2_Respuesta_6,p3_Respuesta_1,p3_Respuesta_2,p3_Respuesta_3,p3_Respuesta_4,p3_Respuesta_5,p3_Respuesta_6,p4_Respuesta_1,p4_Respuesta_2,p4_Respuesta_3,p4_Respuesta_4,p4_Respuesta_5,p4_Respuesta_6,p5_Respuesta_1,p5_Respuesta_2,p5_Respuesta_3,p5_Respuesta_4,p5_Respuesta_5,p5_Respuesta_6,p6_Respuesta_1,p6_Respuesta_2,p6_Respuesta_3,p6_Respuesta_4,p6_Respuesta_5,p6_Respuesta_6,p7_Respuesta_1,p7_Respuesta_2,p7_Respuesta_3,p7_Respuesta_4,p8_Respuesta_1,p8_Respuesta_2,p8_Respuesta_3,p8_Respuesta_4,p9_Respuesta_1,p9_Respuesta_2,p9_Respuesta_3,Percepcion_Economica_Personal_Positiva,Percepcion_Economica_Personal_Negativa,Percepcion_Naciona_Positiva,Percepcion_Nacional_Negativa,Consumo_Ahorro_Positivo,Consumo_Ahorro_Negativo,Incertidumbre_Economica_Personal,Incertidumbre_Economica_Nacional,ingreso_promedio_total
2018,AGUASCALIENTES,Aguascalientes,1,0.3872366474498898,13886.936196004206,23649.594432873277,30669.59546631473,37208.5847833564,44942.14086913004,52600.10412344223,62296.853936006,76179.95650033603,99767.77707618049,190080.6511566125,0.6132075471698114,12.547169811320757,54.57547169811321,31.650943396226417,0.6132075471698114,,15.330188679245282,84.15094339622642,0.5188679245283019,,,26.32075471698113,35.424528301886795,37.9245283018868,0.330188679245283,,,0.2358490566037736,1.2264150943396228,17.075471698113205,2.8773584905660377,78.58490566037736,,1.0849056603773584,29.52830188679245,39.764150943396224,25.943396226415093,3.679245283018868,,3.349056603773585,2.5943396226415096,94.0566037735849,,6.60377358490566,5.89622641509434,87.5,,0.2358490566037736,41.17924528301887,38.11320754716981,20.37735849056604,0.0943396226415094,,0.3773584905660377,16.037735849056602,64.33962264150944,19.150943396226417,0.0943396226415094,,,46.4622641509434,34.575471698113205,18.77358490566038,0.1886792452830188,,,1.4150943396226416,12.12264150943396,79.76415094339623,6.69811320754717,,0.2358490566037736,16.88679245283019,28.962264150943398,46.9811320754717,6.933962264150943,,9.38679245283019,28.962264150943398,61.65094339622641,,,8.39622641509434,91.60377358490564,,8.867924528301886,91.13207547169812,,28.09605488850772,11.367924528301888,13.146226415094342,23.744103773584907,13.739279588336194,65.8355795148248,0.5188679245283019,,63128.219454025595
2018,AGUASCALIENTES,Jesús María,5,0.3850819117495087,13869.776909224553,23571.796354356546,29459.73282941396,35763.77730112605,43516.357958077344,51750.94833333333,61844.52396861846,73797.85844772968,97029.84564381574,182909.66024398996,,6.722689075630252,67.22689075630252,26.05042016806723,,,3.361344537815126,96.63865546218489,,,,31.93277310924369,42.01680672268908,26.05042016806723,,,,,,47.05882352941176,,52.94117647058824,,,45.37815126050421,35.294117647058826,15.126050420168069,4.201680672268908,,,3.361344537815126,96.63865546218489,,10.084033613445378,20.16806722689076,69.74789915966386,,,75.63025210084034,17.647058823529413,6.722689075630252,,,,3.361344537815126,78.99159663865547,17.647058823529413,,,,71.42857142857143,16.80672268907563,11.76470588235294,,,,,35.294117647058826,56.30252100840336,8.403361344537815,,,35.294117647058826,23.52941176470588,27.73109243697479,13.445378151260504,,10.084033613445378,33.61344537815126,52.94117647058824,3.361344537815126,,,100.0,,,100.0,,42.226890756302524,15.54621848739496,34.957983193277315,24.60984393757503,19.327731092436977,78.71148459383754,3.361344537815126,,61351.427798968565
2018,BAJA CALIFORNIA,Tijuana,4,0.3774508021247181,14772.725368035566,23679.296903027916,30567.28934465888,37169.51016780377,43662.4886168464,51089.50862304244,62347.34945452279,79404.93462037639,104128.50558548662,175415.9901556609,2.5776215582893967,22.788517867603986,50.73227885178676,22.49560632688928,1.4059753954305798,,42.58933801991798,55.77035735207967,,1.6403046280023432,2.2261277094317515,26.01054481546573,60.51552431165788,8.142940831868776,0.1171646162858816,2.987697715289982,0.5272407732864675,5.330990041007615,19.15641476274165,31.810193321616868,10.779144698301112,31.400117164616287,0.995899238429994,3.2806092560046864,36.02811950790861,38.37141183362625,11.364967779730522,5.272407732864675,5.682483889865261,14.938488576449911,8.963093145869948,75.98125366139425,0.1171646162858816,25.89338019917985,12.126537785588752,61.62858816637375,0.3514938488576449,3.5735207967193907,42.70650263620387,35.618043350908025,11.833626244874049,1.1130638547158758,5.155243116578793,1.698886936145284,26.947861745752785,50.497949619215,18.33626244874048,2.1675454012888107,0.3514938488576449,4.92091388400703,44.40538957234915,34.212067955477444,12.126537785588752,0.1171646162858816,4.21792618629174,0.2929115407147041,3.163444639718805,35.50087873462214,51.31810193321616,8.553016988869361,1.1716461628588166,1.4645577035735209,40.12888107791447,25.95196250732279,20.152314001171646,5.506736965436438,6.795547744581136,19.917984768599883,40.8904510837727,39.19156414762742,,10.54481546572935,47.80316344463972,41.18336262448741,0.4686584651435266,38.84007029876977,59.1095489162273,2.0503807850029294,26.72329623120484,8.699472759226714,17.43311853153681,18.09461042765085,27.019963048082555,31.27644340298119,1.962507322788518,3.661394258933802,62223.75988394617
2018,BAJA CALIFORNIA SUR,La Paz,3,0.4413233603306656,14935.26619,25727.71968037102,32942.94482029599,40897.09185189748,50144.89503258146,59753.32864905098,72259.8447536485,88984.47405000619,111877.92737060825,288563.26276362734,0.7840342124019958,9.978617248752672,64.07697790449038,23.59230220955096,1.5680684248039916,,33.143264433357096,66.50035637918745,0.3563791874554526,,0.3563791874554526,28.5816108339273,67.6407697790449,3.278688524590164,,0.142551674982181,0.4989308624376337,7.198859586600142,10.121168923734851,30.71988595866001,26.08695652173913,25.089094796863865,0.2851033499643621,0.7840342124019958,23.734853884533145,55.45260156806842,16.60727013542409,3.2074126870990733,0.2138275124732715,8.05416963649323,18.389166072701357,73.55666429080541,,6.557377049180328,24.875267284390592,68.56735566642908,,1.069137562366358,30.00712758374911,37.20598717034925,26.799714896650038,4.20527441197434,0.7127583749109052,0.0712758374910905,3.0648610121168924,77.4768353528154,17.96151104775481,1.4255167498218104,,0.7127583749109052,27.369921596578763,40.76977904490378,29.08054169636493,1.9957234497505347,0.0712758374910905,0.2851033499643621,4.918032786885246,37.6336421952958,48.61012116892374,8.33927298645759,0.2138275124732715,,22.30933713471133,32.78688524590164,27.156094084105487,16.963649322879544,0.7840342124019958,14.326443335709191,59.729151817533854,25.944404846756957,,3.3499643620812543,44.19101924447613,52.459016393442624,,17.67640769779045,82.10976478973629,0.2138275124732715,24.38227607507722,13.328581610833927,17.793040886412232,22.211332858161086,25.143922364164702,50.64148253741982,0.29935851746258013,0.3741981468282252,78608.67551620872
2018,CAMPECHE,Campeche,2,0.3869703005668048,12093.966531074955,19510.09305855975,25212.56751133031,30483.82178709764,36421.34791683117,43038.78073570572,52924.46557922419,66201.70745878568,84378.46239937475,155497.05477633668,0.1273074474856779,11.712285168682367,59.07065563335456,26.670910248249523,2.41884150222788,,26.03437301082113,73.83831954169318,,0.1273074474856779,0.3182686187141947,24.95225970719287,59.6435391470401,13.049013367281988,1.9096117122851688,0.1273074474856779,,5.092297899427116,15.78612348822406,47.61298535964354,7.829408020369192,23.55187778485041,0.1273074474856779,0.5728835136855506,21.769573520050923,33.92743475493316,37.937619350732014,5.092297899427116,0.7001909611712286,1.273074474856779,4.073838319541693,94.39847231063018,0.2546148949713558,8.720560152768938,17.441120305537876,73.83831954169318,,2.9917250159134308,31.444939528962447,46.14894971355824,16.613621896880968,2.609802673456397,0.1909611712285168,0.4455760661998727,18.45957988542329,65.75429662635264,14.76766390833864,0.5728835136855506,,3.1190324633991087,22.851686823679184,65.18141311266709,7.001909611712286,0.8274984086569064,1.0184595798854232,0.8911521323997454,5.219605346912794,26.73456397199236,61.68045830681095,5.47422024188415,,1.9096117122851688,33.54551241247613,25.652450668364104,31.12667091024825,6.238064926798217,1.5276893698281349,10.120942075111394,26.03437301082113,63.84468491406747,,2.100572883513686,7.956715467854869,89.94271164863144,,21.45130490133673,78.03946530872055,0.5092297899427116,27.275620623806493,8.935391470401019,15.554655401886464,25.37396562698918,16.163149390393183,51.89369828134946,0.4201145767027371,0.7850625928283471,52576.226775432086
2018,CHIAPAS,Chiapa de Corzo,27,0.3846028247230506,7968.62,13206.308871866297,19770.52371369295,25914.80991922456,30302.810665584417,33924.29,38712.51943877551,40483.46966622163,54861.33331476323,133478.965,1.0676156583629894,28.11387900355872,33.096085409252666,37.72241992882562,,,33.096085409252666,66.90391459074732,,,,50.5338078291815,40.92526690391459,8.540925266903916,,,,15.302491103202849,37.72241992882562,10.676156583629894,13.87900355871886,20.99644128113879,1.4234875444839856,12.455516014234876,26.69039145907473,30.60498220640569,13.87900355871886,16.370106761565836,,15.302491103202849,5.693950177935943,79.00355871886121,,21.70818505338078,8.896797153024911,69.3950177935943,,7.473309608540925,52.66903914590747,25.622775800711743,14.23487544483986,,,1.7793594306049825,31.316725978647685,32.74021352313167,34.16370106761566,,,5.693950177935943,43.41637010676156,37.01067615658363,13.87900355871886,,,,6.405693950177936,25.97864768683274,65.83629893238434,1.7793594306049825,,4.98220640569395,58.718861209964416,18.86120996441281,17.437722419928825,,,19.217081850533805,58.362989323843415,22.419928825622776,,10.320284697508896,55.87188612099644,33.80782918149466,,26.33451957295373,72.24199288256227,1.4234875444839856,25.0,25.0,23.772241992882563,19.97966446365023,28.855278766310793,47.15302491103203,1.4234875444839856,1.4234875444839856,39862.36505901286
2018,CHIAPAS,Tuxtla Gutiérrez,101,0.3857071967355373,10349.971098847363,18831.78641825649,23494.55665792923,26942.508931195724,32495.70966815889,38651.97198568753,49018.809734513285,58669.96093466299,76888.36227579686,140525.28981445768,2.044989775051125,11.792774369461489,36.5371506475801,48.39809134287662,1.2269938650306749,,34.628493524199044,65.03067484662577,,0.3408316291751874,0.6134969325153374,28.28902522154056,43.012951601908654,27.062031356509884,0.81799591002045,0.2044989775051125,0.4771642808452624,5.589638718473075,16.359918200409,16.768916155419223,20.858895705521476,39.94546693933197,,2.3858214042263124,19.222903885480573,40.42263122017723,11.042944785276074,26.789366053169733,0.136332651670075,7.0892978868439,2.044989775051125,90.86571233810496,,13.0879345603272,6.407634628493525,80.50443081117928,,3.6809815950920246,29.788684389911385,34.56032719836401,30.67484662576687,1.2951601908657124,,2.3176550783912746,14.042263122017722,43.28561690524881,39.8091342876619,0.5453306066803,,2.7948193592365373,27.67552828902522,39.87730061349693,29.107021131561005,0.5453306066803,,0.27266530334015,2.8629856850715747,16.83708248125426,71.77914110429448,8.248125426039536,,2.2494887525562373,27.402862985685072,31.765507839127476,34.49216087252897,3.408316291751875,0.6816632583503749,13.428766189502388,42.39945466939332,44.171779141104295,,4.08997955010225,44.785276073619634,51.12474437627812,,34.219495569188815,65.23517382413088,0.5453306066803,20.699840945239718,18.950238582140422,13.82072256305385,24.173483299250172,21.084368937129675,43.0811179277437,0.37491479209270623,0.40899795501022496,47586.89275195061
2018,CHIHUAHUA,Chihuahua,19,0.4043033988345335,13451.293949615383,22635.35656159597,28789.551637584405,34488.039310411135,41487.90255658612,49659.22575070177,58180.5985164835,72030.18582947282,96356.61697583228,198097.77918922997,3.7262872628726287,25.677506775067748,47.89972899728998,19.715447154471544,2.9810298102981028,,39.769647696476966,60.23035230352304,,,4.94579945799458,40.040650406504064,35.43360433604336,13.48238482384824,4.336043360433604,1.7615176151761516,0.3387533875338753,6.978319783197833,11.720867208672086,41.73441734417344,10.975609756097562,27.235772357723576,1.016260162601626,7.046070460704606,30.62330623306233,41.05691056910569,11.991869918699187,5.826558265582656,3.4552845528455287,29.471544715447155,,70.52845528455285,,33.40108401084011,,66.26016260162602,0.3387533875338753,10.16260162601626,40.98915989159892,28.794037940379404,13.414634146341465,5.013550135501355,1.6260162601626018,3.387533875338753,29.6070460704607,48.57723577235773,14.29539295392954,3.997289972899729,0.1355013550135501,10.569105691056912,44.918699186991866,27.84552845528455,11.178861788617883,3.861788617886179,1.6260162601626018,0.8130081300813009,7.452574525745257,40.31165311653117,39.295392953929536,11.788617886178862,0.3387533875338753,5.420054200542006,33.60433604336043,26.693766937669377,22.493224932249323,8.536585365853659,3.252032520325204,32.58807588075881,20.663956639566397,46.7479674796748,,18.22493224932249,36.99186991869919,44.78319783197832,,44.986449864498645,53.45528455284553,1.5582655826558265,26.846205962059617,9.307249322493224,17.67163504968383,19.080284552845526,30.59251047055925,36.737804878048784,1.1743450767841013,2.0155826558265586,61517.65502775133
2018,COAHUILA DE ZARAGOZA,Ramos Arizpe,27,0.4149751784131394,14053.337207455988,25915.47927466863,32478.482933333336,39696.73212331139,50078.29359422237,56316.28219040536,64634.46070730117,79658.1911365838,112852.67825092252,234633.54738087725,,24.113475177304963,58.15602836879432,17.73049645390071,,,49.645390070921984,50.35460992907801,,,,33.33333333333333,38.297872340425535,24.822695035460992,3.546099290780142,,,4.25531914893617,16.312056737588655,22.69503546099291,9.219858156028367,47.5177304964539,,2.8368794326241136,30.49645390070922,64.53900709219859,2.127659574468085,,,8.51063829787234,24.113475177304963,67.37588652482269,,22.69503546099291,9.929078014184398,67.37588652482269,,2.8368794326241136,39.00709219858156,32.62411347517731,21.98581560283688,3.546099290780142,,,34.04255319148936,50.35460992907801,15.602836879432624,,,4.25531914893617,40.42553191489361,34.04255319148936,17.73049645390071,3.546099290780142,,,5.673758865248227,41.84397163120568,51.06382978723404,1.4184397163120568,,,35.46099290780142,33.33333333333333,16.312056737588655,14.893617021276595,,22.69503546099291,41.84397163120568,35.46099290780142,,26.95035460992908,29.07801418439716,43.97163120567376,,51.06382978723404,48.93617021276596,,31.985815602836873,13.356973995271867,26.083530338849485,16.818642350557244,29.846335697399525,39.209726443769,,,71031.74847990819
2018,COAHUILA DE ZARAGOZA,Saltillo,30,0.3871364678773583,15784.11774052217,26629.12006077126,34605.547911383896,41642.77236618446,50518.42574986775,59228.79901004304,71348.95928206042,86477.42854564278,113571.65957265718,213352.1380721177,3.816400206291904,30.840639504899432,48.58174316658071,15.626611655492525,1.1346054667354306,,55.8019597730789,43.16658071170706,,1.0314595152140278,7.013924703455389,35.327488396080454,41.25838060856111,14.646725116039194,1.4956162970603404,0.2578648788035069,1.2893243940175347,3.816400206291904,26.921093347086128,33.83187209902012,14.388860237235686,19.752449716348632,,14.02784940691078,26.30221763795771,51.418256833419285,5.673027333677153,2.578648788035069,,26.714801444043324,17.895822588963384,55.38937596699329,,31.92367199587417,15.832903558535328,52.24342444559051,,12.325941206807633,37.28726147498711,34.60546673543063,13.563692625064466,2.21763795771016,,4.693140794223827,34.86333161423414,46.87983496647757,12.841670964414648,0.7220216606498195,,14.07942238267148,35.63692625064466,36.61681279009799,12.686952037132542,0.8251676121712224,0.1547189272821041,,12.893243940175347,50.077359463641045,33.67715317173801,3.3522434244455903,,3.7132542547705,29.29345023207839,37.49355337802992,21.660649819494584,7.529654461062403,0.3094378545642083,26.508509541000517,45.22949974213512,28.261990716864364,,22.382671480144403,46.72511603919546,30.89221248066013,,43.52759154203197,56.47240845796803,,28.35224342444559,7.452294997421351,23.386000281307137,15.336513666838577,32.01094933946919,28.919546157813308,0.20629190304280548,0.3094378545642083,71315.89683112506
