Cluster,year,municipio,gini,decil_1,decil_2,decil_3,decil_4,decil_5,decil_6,decil_7,decil_8,decil_9,decil_10,p1_Respuesta_1,p1_Respuesta_2,p1_Respuesta_3,p1_Respuesta_4,p1_Respuesta_5,p1_Respuesta_6,p10_Respuesta_1,p10_Respuesta_2,p10_Respuesta_3,p10_Respuesta_4,p11_Respuesta_1,p11_Respuesta_2,p11_Respuesta_3,p11_Respuesta_4,p11_Respuesta_5,p11_Respuesta_6,p12_Respuesta_1,p12_Respuesta_2,p12_Respuesta_3,p12_Respuesta_4,p12_Respuesta_5,p12_Respuesta_6,p12_Respuesta_7,p13_Respuesta_1,p13_Respuesta_2,p13_Respuesta_3,p13_Respuesta_4,p13_Respuesta_5,p13_Respuesta_6,p14_Respuesta_1,p14_Respuesta_2,p14_Respuesta_3,p14_Respuesta_4,p15_Respuesta_1,p15_Respuesta_2,p15_Respuesta_3,p15_Respuesta_4,p2_Respuesta_1,p2_Respuesta_2,p2_Respuesta_3,p2_Respuesta_4,p2_Respuesta_5,p2_Respuesta_6,p3_Respuesta_1,p3_Respuesta_2,p3_Respuesta_3,p3_Respuesta_4,p3_Respuesta_5,p3_Respuesta_6,p4_Respuesta_1,p4_Respuesta_2,p4_Respuesta_3,p4_Respuesta_4,p4_Respuesta_5,p4_Respuesta_6,p5_Respuesta_1,p5_Respuesta_2,p5_Respuesta_3,p5_Respuesta_4,p5_Respuesta_5,p5_Respuesta_6,p6_Respuesta_1,p6_Respuesta_2,p6_Respuesta_3,p6_Respuesta_4,p6_Respuesta_5,p6_Respuesta_6,p7_Respuesta_1,p7_Respuesta_2,p7_Respuesta_3,p7_Respuesta_4,p8_Respuesta_1,p8_Respuesta_2,p8_Respuesta_3,p8_Respuesta_4,p9_Respuesta_1,p9_Respuesta_2,p9_Respuesta_3,Percepcion_Economica_Personal_Positiva,Percepcion_Economica_Personal_Negativa,Percepcion_Naciona_Positiva,Percepcion_Nacional_Negativa,Consumo_Ahorro_Positivo,Consumo_Ahorro_Negativo,Incertidumbre_Economica_Personal,Incertidumbre_Economica_Nacional,ingreso_promedio_total
1,2021.0933333333332,31.48,0.37053390210933385,20627.528727335997,32032.571191426057,40683.298993143275,49249.90999217673,58640.65380498712,68498.14056031567,81149.80333452749,101532.4593285599,132448.0170086052,241263.78864765126,1.5563317338001053,14.648249634804417,47.75582585794016,35.03180881658065,3.6059065522959886,0.1107828655834564,27.588597884581766,67.71947769772937,0.3861889501288797,6.1665914138299005,1.9446010303212051,18.01359123640176,52.01922770058038,26.127062068042523,3.0534920216847525,1.875500555782756,0.5022605996440757,1.506501940471949,6.885370446998941,21.065197339743758,26.07380576804688,46.5921632879206,0.7216509726841863,3.5939818521850726,20.49675795070353,37.52376131529914,24.262741696660765,14.560145720626116,2.2508909299328352,6.520657249017098,6.6503554699395755,88.57965096727816,0.9848595473366448,8.13829662501347,9.087043463004662,84.25418696046114,1.0646362922300978,3.262234756916006,30.644587640248126,44.680467774465136,20.05859702546367,3.1335543806704647,1.7648753699568238,1.949869160812366,14.145051520486744,51.06569125623332,32.61834023923643,3.070668645161162,2.3371487771419623,3.363890261371616,32.82249881404075,42.42682313269864,19.589315128595562,2.6253559568405893,1.9714916130380735,1.1720532445987186,10.121448098721922,28.18622848152502,54.693992694815215,8.80614277418273,1.3137727494986178,2.0417805805561446,23.368054443981322,36.17495017363561,30.74808823274819,8.413072445384866,2.067775863751073,12.27901911029806,39.48396624965031,49.02972439222692,0.647288046114653,6.286267871694244,31.230223755626472,63.34508798524995,1.2018603908368215,24.9575303443634,74.25325194238226,2.1576630471394567,29.34097758219108,16.862128106861757,18.806567776203956,24.080379751781333,20.488772797338093,49.204878727630714,1.3523662231278273,1.1849880158217467,82612.61715887288
2,2019.5,16.5,0.5565322693763484,26460.088654766732,41715.07215890693,55868.51614701342,68735.11181874438,89593.4170026496,117641.17014229167,156154.44465282204,207048.06948770332,277582.37663890806,1395923.1539840165,2.415458937198068,5.742750203473063,56.861860700501005,33.94172741953817,3.799729256250995,,39.367389464215286,56.72490893786572,,7.815403195837978,0.6027034559643255,15.232144750199565,71.38665766711578,11.317673662915727,0.48193050910442214,3.0424138744690894,,3.067484662576687,14.967346495220596,28.89516836154273,27.05603260584589,38.66705191388441,0.6134969325153374,3.3321647677475896,22.709426074873527,41.844696660664255,19.844145292631556,13.334107410327736,1.2030843552582684,8.301374526084448,7.551025694764025,84.14759977915152,,5.1584819851024175,5.955659746954092,88.88585826794349,,1.1428571428571428,27.891767108591594,55.51098410532593,14.652867158552008,0.912791314965228,1.9481477111845211,0.7246376811594203,7.089466999909785,62.743908347069194,27.15689546109325,3.1579294296685596,1.8404907975460123,,26.956921682981964,57.829798589351135,13.094489686464213,0.912791314965228,2.8683931099575273,2.2857142857142856,4.000821383056645,33.47834795017377,53.454195925588294,9.495411515516878,,2.0324361628709458,15.158510849128346,42.10322752734062,33.44993312828068,8.547189927624709,2.482290624128448,8.7335747815209,55.613645527289165,35.652779691189934,,1.4256143722167995,51.238585376938936,47.335800250844265,,42.39871568519208,57.17857900079826,1.6908212560386473,34.796297986646664,13.942213148882843,23.443877716190332,24.813662018764628,25.078184442998392,43.1212410890971,1.630281607858962,1.3083171894271521,243672.14206878224
3,2019.9222222222222,45.166666666666664,0.36305054300497563,14865.193332925744,23236.840702929327,29297.047311876482,35503.18504692159,42215.63260285843,49707.61930867608,58605.99637808785,71058.76450239675,91191.07175936716,168047.95175413208,1.9481609905770536,17.53605743742761,47.63793845059811,31.57954868748853,4.374073575517391,0.329421504123634,30.226197466695957,68.40629121242135,0.9377009164373996,3.486423953694043,2.177269573701818,26.1403889754712,48.49422009797955,21.347077653477946,4.18146314130108,2.376532789126879,0.817703025969531,3.340534829116345,13.406234315335839,26.90739453363018,17.81451430024066,40.460280260071386,1.164748822292074,3.9697395650979557,22.088096163147487,42.204008139857535,20.555195702874602,13.361732418455897,2.7738828409401446,8.726286177089941,9.107231012137362,84.65509261502052,0.4835210485173481,13.289672505440665,10.58803942226559,78.03991029741448,0.8422042077188386,4.375731857750047,34.589327706985216,39.927933115406574,17.4978560216405,4.937794121751275,3.0125573499084837,1.9238077441956514,18.44635207225828,51.43156225381265,27.430755202135906,3.832906875603599,0.6008108286160158,4.746190271974124,37.217832184679054,39.36893322330819,16.090402783689715,4.258573495698116,2.6163782779838436,1.4382926735284483,11.490615260027399,28.58738188079449,52.44663573220456,9.50635648166593,0.6192588278484695,3.104841817892038,27.896030936539578,32.31370594349606,28.018382756130578,9.838988038051214,3.077639439625272,17.381918535829787,33.79214098423567,49.92767819487217,0.7335881243702526,8.000758396537803,31.0969730542161,62.40628171203083,1.437087487833917,27.011586468761692,72.54085212158759,2.5668926914397394,28.83929162437711,15.28717160932465,20.11597759214423,22.853007227388893,21.899955478278486,49.632986490558274,1.4959831352866237,1.4194122901556974,58372.93027001715
4,2019.4074074074074,51.925925925925924,0.33843652073371455,11112.250219082009,17180.345028514545,21875.5040646448,26375.78735047866,31130.134543209246,36451.344501311614,43073.7707492491,51820.09242653996,65255.12394688617,108313.01852687115,3.637758110387716,15.181043836728488,48.88160276635791,38.37511529800726,8.549256872604245,7.2713918472273225,24.62193225903808,76.1015955321826,2.368715901097757,7.191237114067836,3.5522161123241878,23.407411989422155,43.15312438255396,31.359102226279123,7.6715457948062005,7.016009839107485,5.007494482912969,5.553691592113549,16.204786634814983,26.37542859989261,20.38417484591609,43.315473229049466,4.987786326931991,5.250634382183308,20.453730391396903,37.54127359538461,21.500137464396456,27.946538116976736,6.1455697356552985,7.22913781377466,8.89666949365667,90.75556670520783,3.578689447407619,13.024591630924691,14.315218600174337,78.99972270660327,7.013328246665227,5.753719107642209,32.37030319797391,37.097696382146545,23.325611131038887,12.145213490403474,10.501850296529005,3.7639374939773336,15.886374093259041,51.927491095250765,33.66693402954973,7.726068749996978,0.6300516454758099,5.651071550629295,34.725639848403134,39.167760207273936,20.685698791651262,11.88352909264267,7.794968310124482,4.021979856018883,10.73830837092089,27.54567699609578,57.22996916118102,13.84310077875149,3.6782653793556417,4.80538519607856,28.480388842970058,27.469072316967925,29.206105459045716,19.618875355802416,8.676153876705566,14.633184541924567,27.21163290781008,64.47094249013605,1.605372957513035,7.575424098382521,25.772295778405184,73.37455178417389,2.4189819187744916,19.402632207078877,83.42030734592866,6.3095190879809095,33.24741491677406,23.035109954558624,22.489313251432243,28.73094918919217,21.715821475246152,62.9958571104657,4.070443623306713,3.2313822654639313,41258.737135678726
